Book Title,Author Name
Fiction,The Midnight Library,https://www.goodreads.com/choiceawards/best-fiction-books-2020
Mystery & Thriller,The Guest List,https://www.goodreads.com/choiceawards/best-mystery-thriller-books-2020
Historical Fiction,The Vanishing Half,https://www.goodreads.com/choiceawards/best-historical-fiction-books-2020
Fantasy,House of Earth and Blood (Crescent City, #1),https://www.goodreads.com/choiceawards/best-fantasy-books-2020
Romance,From Blood and Ash (Blood And Ash, #1),https://www.goodreads.com/choiceawards/best-romance-books-2020
Science Fiction,To Sleep in a Sea of Stars,https://www.goodreads.com/choiceawards/best-science-fiction-books-2020
Horror,Mexican Gothic,https://www.goodreads.com/choiceawards/best-horror-books-2020
Humor,Strange Planet (Strange Planet #1),https://www.goodreads.com/choiceawards/best-humor-books-2020
Nonfiction,Stamped: Racism, Antiracism, and You,https://www.goodreads.com/choiceawards/best-nonfiction-books-2020
Memoir & Autobiography,A Promised Land,https://www.goodreads.com/choiceawards/best-memoir-autobiography-books-2020
History & Biography,Caste: The Origins of Our Discontents,https://www.goodreads.com/choiceawards/best-history-biography-books-2020
Science & Technology,A Life on Our Planet: My Witness Statement and a Vision for the Future,https://www.goodreads.com/choiceawards/best-science-technology-books-2020
Food & Cookbooks,Modern Comfort Food: A Barefoot Contessa Cookbook,https://www.goodreads.com/choiceawards/best-food-cookbooks-2020
Graphic Novels & Comics,Heartstopper: Volume Three (Heartstopper, #3),https://www.goodreads.com/choiceawards/best-graphic-novels-comics-2020
Poetry,Dearly: New Poems,https://www.goodreads.com/choiceawards/best-poetry-books-2020
Debut Novel,Such a Fun Age,https://www.goodreads.com/choiceawards/best-debut-novel-2020
Young Adult Fiction,Clap When You Land,https://www.goodreads.com/choiceawards/best-young-adult-fiction-books-2020
Young Adult Fantasy,The Queen of Nothing (The Folk of the Air, #3),https://www.goodreads.com/choiceawards/best-young-adult-fantasy-books-2020
Middle Grade & Children's,The Tower of Nero (The Trials of Apollo, #5),https://www.goodreads.com/choiceawards/best-childrens-books-2020
Picture Books,Antiracist Baby,https://www.goodreads.com/choiceawards/best-picture-books-2020
